,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,370,228,109,337,337
Precinct,371,495,136,631,631
Precinct,372,230,87,317,317
Precinct,373,252,105,357,357
Precinct,374,339,67,406,406
Precinct,375,164,109,273,273
Precinct,376,409,193,602,602
Precinct,377,571,185,756,756
Precinct,378,127,58,185,185
Precinct,379,109,43,152,152
Precinct,380,156,145,301,301
Precinct,381,359,44,403,403
Precinct,382,378,74,452,452
Precinct,383,369,69,438,438
Precinct,384,402,83,485,485
Precinct,385,377,94,471,471
Precinct,386,291,55,346,346
Precinct,387,338,63,401,401
Precinct,388,268,267,535,535
Precinct,389,270,126,396,396
Precinct,390,271,229,500,500
Precinct,391,249,137,386,386
Precinct,392,238,185,423,423
Precinct,393,173,140,313,313
Precinct,394,407,265,672,672
Precinct,395,274,180,454,454
Precinct,396,297,123,420,420
Precinct,397,225,171,396,396
Precinct,398,227,178,405,405
Precinct,399,328,206,534,534
Precinct,400,227,100,327,327
Precinct,401,315,140,455,455
Precinct,402,365,222,587,587
Precinct,403,255,111,366,366
Precinct,404,355,189,544,544
Precinct,405,301,153,454,454
Precinct,406,163,82,245,245
Precinct,407,217,154,371,371
Precinct,408,349,250,599,599
Precinct,409,262,137,399,399
Precinct,410,360,224,584,584
Precinct,411,175,92,267,267
Precinct,412,364,118,482,482
Precinct,413,274,123,397,397
Precinct,414,174,121,295,295
Precinct,415,182,119,301,301
Precinct,416,298,105,403,403
Precinct,417,343,159,502,502
Precinct,418,436,243,679,679
Precinct,419,235,177,412,412
Precinct,420,292,207,499,499
Precinct,421,363,270,633,633
Precinct,422,329,275,604,604
Precinct,423,319,245,564,564
Precinct,424,271,206,477,477
Precinct,425,242,224,466,466
Precinct,426,283,191,474,474
Precinct,427,265,293,558,558
Precinct,428,432,228,660,660
Precinct,429,321,219,540,540
Precinct,430,324,269,593,593
Precinct,431,265,163,428,428
Precinct,432,464,170,634,634
Precinct,433,245,119,364,364
Precinct,434,193,99,292,292
Precinct,435,363,201,564,564
Precinct,436,266,148,414,414
Precinct,437,179,91,270,270
Precinct,438,120,49,169,169
Precinct,439,370,179,549,549
Precinct,440,173,117,290,290
Precinct,441,257,153,410,410
Precinct,442,323,167,490,490
Precinct,443,251,137,388,388
Precinct,444,213,124,337,337
Precinct,445,241,156,397,397
Precinct,446,288,141,429,429
Precinct,447,260,338,598,598
Precinct,448,174,133,307,307
Precinct,449,148,71,219,219
Precinct,450,228,225,453,453
Precinct,451,293,166,459,459
Precinct,452,272,149,421,421
Precinct,453,416,225,641,641
Precinct,454,216,144,360,360
Precinct,455,301,157,458,458
Precinct,456,249,192,441,441
Precinct,457,357,286,643,643
Precinct,458,195,210,405,405
Precinct,459,335,207,542,542
Precinct,460,307,228,535,535
Precinct,461,269,153,422,422
Precinct,462,192,126,318,318
Precinct,463,256,139,395,395
Precinct,464,224,120,344,344
Precinct,465,147,61,208,208
Precinct,466,294,246,540,540
Precinct,467,199,175,374,374
Precinct,468,375,303,678,678
Precinct,469,357,391,748,748
Precinct,470,377,275,652,652
Precinct,471,245,191,436,436
Precinct,472,188,135,323,323
Precinct,473,219,130,349,349
Precinct,474,178,137,315,315
Precinct,475,366,173,539,539
Precinct,476,352,248,600,600
Precinct,477,234,119,353,353
Precinct,478,376,216,592,592
Precinct,479,236,289,525,525
Precinct,480,328,227,555,555
Precinct,481,205,109,314,314
Precinct,482,313,284,597,597
Precinct,483,319,233,552,552
Precinct,484,355,220,575,575
Precinct,485,351,317,668,668
Precinct,486,206,155,361,361
Precinct,487,305,258,563,563
Precinct,488,391,249,640,640
Precinct,489,289,200,489,489
Precinct,490,256,321,577,577
Precinct,491,240,171,411,411
Precinct,492,221,133,354,354
Precinct,493,251,170,421,421
Precinct,494,243,174,417,417
Precinct,495,383,241,624,624
Precinct,496,247,162,409,409
Precinct,497,349,209,558,558
Precinct,498,391,246,637,637
Precinct,499,331,233,564,564
Precinct,500,398,307,705,705
Precinct,501,285,294,579,579
Precinct,502,381,229,610,610
Precinct,503,239,148,387,387
Precinct,504,256,134,390,390
Precinct,505,270,187,457,457
Precinct,506,252,159,411,411
Precinct,507,229,184,413,413
Precinct,508,249,142,391,391
Precinct,509,177,131,308,308
Precinct,510,212,166,378,378
Precinct,511,295,287,582,582
Precinct,512,246,162,408,408
Precinct,513,166,138,304,304
Precinct,514,361,299,660,660
Precinct,515,241,188,429,429
Precinct,516,257,192,449,449
Precinct,517,267,264,531,531
Precinct,518,256,178,434,434
Precinct,519,224,152,376,376
Precinct,520,212,173,385,385
Precinct,521,386,316,702,702
Precinct,522,211,194,405,405
Precinct,523,284,266,550,550
Precinct,524,159,161,320,320
Precinct,525,384,247,631,631
Precinct,526,395,300,695,695
Precinct,527,138,114,252,252
Precinct,528,130,148,278,278
Precinct,529,254,159,413,413
Precinct,530,327,180,507,507
Precinct,531,342,200,542,542
Precinct,532,297,188,485,485
Precinct,533,270,142,412,412
Precinct,534,367,264,631,631
Precinct,535,281,191,472,472
Precinct,536,196,130,326,326
Precinct,537,242,161,403,403
Precinct,538,224,110,334,334
Precinct,539,360,176,536,536
Precinct,540,238,163,401,401
Precinct,541,256,436,692,692
Precinct,542,313,196,509,509
Precinct,543,246,139,385,385
Precinct,544,360,238,598,598
Precinct,545,333,249,582,582
Precinct,546,311,266,577,577
Precinct,547,336,235,571,571
Precinct,548,283,206,489,489
Precinct,549,379,270,649,649
Precinct,550,336,196,532,532
Precinct,551,107,127,234,234
Precinct,552,324,282,606,606
Precinct,553,317,359,676,676
Precinct,554,270,220,490,490
Precinct,555,296,209,505,505
Precinct,556,241,261,502,502
Precinct,557,276,335,611,611
Precinct,558,305,243,548,548
Precinct,559,388,308,696,696
Precinct,560,269,324,593,593
Precinct,561,200,154,354,354
Precinct,562,375,232,607,607
Precinct,563,180,188,368,368
Precinct,564,229,189,418,418
Precinct,565,346,239,585,585
Precinct,566,374,305,679,679
Precinct,567,59,60,119,119
Precinct,568,199,274,473,473
Precinct,569,281,160,441,441
Precinct,570,183,128,311,311
Precinct,571,193,234,427,427
Precinct,572,195,226,421,421
Precinct,573,170,179,349,349
Precinct,574,330,196,526,526
Precinct,575,367,401,768,768
Precinct,576,306,308,614,614
Precinct,577,259,386,645,645
Precinct,578,231,237,468,468
Precinct,579,326,327,653,653
Precinct,580,221,287,508,508
Precinct,581,283,110,393,393
Precinct,582,144,190,334,334
Precinct,583,225,243,468,468
Precinct,584,179,181,360,360
Precinct,585,199,178,377,377
Precinct,586,367,198,565,565
Precinct,587,273,127,400,400
Precinct,588,307,265,572,572
Precinct,589,264,193,457,457
Precinct,590,277,211,488,488
Precinct,591,78,43,121,121
Precinct,592,284,291,575,575
Precinct,593,280,189,469,469
Precinct,594,315,342,657,657
Precinct,595,313,408,721,721
Precinct,596,153,244,397,397
Precinct,597,197,463,660,660
Precinct,598,137,207,344,344
Precinct,599,267,188,455,455
Precinct,600,186,84,270,270
Precinct,601,263,279,542,542
Precinct,602,329,261,590,590
Precinct,603,316,281,597,597
Precinct,604,190,103,293,293
