COUNTY,FIPS,SRPREC,ELECTION,SRPREC_KEY,GEO_TYPE,CITY,N_IN_CITY,N
19,06037,9003190B,g24,060379003190B,srprec,LOS ANGELES,16,16
19,06037,9006297A,g24,060379006297A,srprec,NORTHRIDGE,1184,1184
19,06037,9003213A,g24,060379003213A,srprec,NORTH HOLLYWOOD,52,52
19,06037,9002696A,g24,060379002696A,srprec,LOS ANGELES,3,3
19,06037,9003248A,g24,060379003248A,srprec,LOS ANGELES,24,24
19,06037,9003265A,g24,060379003265A,srprec,LOS ANGELES,3,3
19,06037,9003357A,g24,060379003357A,srprec,LOS ANGELES,113,113
19,06037,9003267B,g24,060379003267B,srprec,LOS ANGELES,8,8
19,06037,9003298A,g24,060379003298A,srprec,LOS ANGELES,99,99
19,06037,9003469A,g24,060379003469A,srprec,LOS ANGELES,610,610
19,06037,9003326A,g24,060379003326A,srprec,SYLMAR,17,17
19,06037,9003327A,g24,060379003327A,srprec,HARBOR CITY,39,39
19,06037,9003432A,g24,060379003432A,srprec,RESEDA,69,69
19,06037,9003449A,g24,060379003449A,srprec,NORTH HOLLYWOOD,1123,1152
19,06037,9003479A,g24,060379003479A,srprec,LOS ANGELES,1,1
19,06037,9005025A,g24,060379005025A,srprec,CHATSWORTH,88,88
19,06037,9003574A,g24,060379003574A,srprec,LOS ANGELES,45,45
19,06037,9003803A,g24,060379003803A,srprec,HARBOR CITY,133,133
19,06037,9003926A,g24,060379003926A,srprec,LOS ANGELES,185,185
19,06037,9003937B,g24,060379003937B,srprec,LOS ANGELES,239,239
19,06037,9003989A,g24,060379003989A,srprec,RESEDA,67,67
19,06037,9004197A,g24,060379004197A,srprec,HARBOR CITY,16,27
19,06037,9006222A,g24,060379006222A,srprec,SYLMAR,4011,4039
19,06037,9004235A,g24,060379004235A,srprec,LOMITA,27,27
19,06037,9004552A,g24,060379004552A,srprec,PACOIMA,1,1
19,06037,9005006C,g24,060379005006C,srprec,LOS ANGELES,354,354
19,06037,9005020A,g24,060379005020A,srprec,LOS ANGELES,487,487
19,06037,9005113A,g24,060379005113A,srprec,LOS ANGELES,1,1
19,06037,9005161B,g24,060379005161B,srprec,STUDIO CITY,246,264
19,06037,9005197A,g24,060379005197A,srprec,STUDIO CITY,952,969
19,06037,9005177A,g24,060379005177A,srprec,PACOIMA,45,45
19,06037,9005206A,g24,060379005206A,srprec,LOS ANGELES,1951,1951
19,06037,9007341A,g24,060379007341A,srprec,SUN VALLEY,1571,1587
19,06037,9005918A,g24,060379005918A,srprec,SANTA MONICA,1634,2049
19,06037,9005929A,g24,060379005929A,srprec,PACIFIC PALISADES,3925,3976
19,06037,9005934F,g24,060379005934F,srprec,VENICE,83,83
19,06037,9006232A,g24,060379006232A,srprec,GRANADA HILLS,3131,3142
19,06037,9006268B,g24,060379006268B,srprec,CHATSWORTH,895,895
19,06037,9006326A,g24,060379006326A,srprec,LOS ANGELES,171,171
19,06037,9000128A,g24,060379000128A,srprec,RESEDA,2531,4652
19,06037,9006443A,g24,060379006443A,srprec,RESEDA,2864,3655
19,06037,9007927A,g24,060379007927A,srprec,CANOGA PARK,3813,4550
19,06037,9007222B,g24,060379007222B,srprec,LOS ANGELES,139,139
19,06037,9007224A,g24,060379007224A,srprec,LOS ANGELES,21,21
19,06037,9007393A,g24,060379007393A,srprec,LOS ANGELES,518,519
19,06037,9007936A,g24,060379007936A,srprec,WOODLAND HILLS,71,93
19,06037,9007985F,g24,060379007985F,srprec,ENCINO,74,74
20,06039,1020,g24,060391020,srprec,MADERA,1664,1664
20,06039,2047,g24,060392047,srprec,MADERA,1897,1897
20,06039,5043,g24,060395043,srprec,OAKHURST,422,422
20,06039,3024,g24,060393024,srprec,MADERA,1270,1270
20,06039,4039,g24,060394039,srprec,MADERA,1990,1990
20,06039,5060,g24,060395060,srprec,COARSEGOLD,7766,8560
20,06039,1003,g24,060391003,srprec,MADERA,3897,3910
20,06039,5048,g24,060395048,srprec,OAKHURST,1389,1840
20,06039,1204,g24,060391204,srprec,MADERA,636,636
20,06039,3009,g24,060393009,srprec,MADERA,1067,1067
