"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","Jeremie Dufault","(Prefers Republican Party)",44514,70.72,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","Rich Bright","(Prefers Republican Party)",17035,27.07,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","WRITE-IN"," ",1391,2.21,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Perry Dozier","(Prefers Republican Party)",45054,63.36,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Kari Isaacson","(Prefers Democratic Party)",25998,36.56,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","WRITE-IN"," ",54,0.08,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)",45890,64.49,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Linda Gunshefski","(Prefers Democratic Party)",25232,35.46,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","WRITE-IN"," ",35,0.05,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)",46596,65.83,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","Craig R Woodard","(Prefers Democratic Party)",24145,34.11,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 2","WRITE-IN"," ",40,0.06,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Paul Harris","(Prefers Republican Party)",44034,51.09,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Marla Keethler","(Prefers Democratic Party)",42019,48.75,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","WRITE-IN"," ",135,0.16,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","Kevin Waters","(Prefers Republican Party)",55952,93.26,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","WRITE-IN"," ",4045,6.74,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","Terri Niles","(Prefers Democratic Party)",42195,49.43,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","David Stuebe","(Prefers Republican Party)",43022,50.4,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","WRITE-IN"," ",148,0.17,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Adrian Cortes","(Prefers Democratic Party)",42053,49.99,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Brad Benton","(Prefers Republican Party)",41881,49.79,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","WRITE-IN"," ",189,0.22,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Stephanie McClintock","(Prefers Republican Party)",46622,55.65,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Deken Letinich","(Prefers Democratic Party)",37053,44.23,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","WRITE-IN"," ",100,0.12,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","John Zingale","(Prefers Democratic Party)",40995,48.95,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","John Ley","(Prefers Republican Party)",42603,50.87,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","WRITE-IN"," ",150,0.18,"Legislative"
"Legislative District 19 - State Senator","Jeff Wilson","(Prefers Republican Party)",48920,61.22,"Legislative"
"Legislative District 19 - State Senator","Andi Day","(Prefers Democratic Party)",30911,38.68,"Legislative"
"Legislative District 19 - State Senator","WRITE-IN"," ",74,0.09,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)",48544,60.14,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Mike Coverdale","(Prefers Democratic Party)",32094,39.76,"Legislative"
"Legislative District 19 - State Representative Pos. 1","WRITE-IN"," ",76,0.09,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Joel McEntire","(Prefers Republican Party)",49665,62.17,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Terry Carlson","(Prefers Democratic Party)",30141,37.73,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","WRITE-IN"," ",77,0.1,"Legislative"
